"REAL","ARM","OLS","MAG","DFM","RDG"
3.1800049155843,4.290984017187251,1.5325363964751761,4.503269559298024,3.9185574344742586,2.8645855093604666
3.6709337349397853,4.394447628852446,1.9638147511490784,4.601344296662149,4.0220688874742425,3.0146577158936534
3.628109406070612,4.457886470185981,2.557958980578527,4.655360663075174,4.092743299164208,3.1307882001020473
4.048840780553542,4.119370871653333,3.670496463517015,4.341745063759827,3.7745578812660434,3.2153485910284942
4.016905411975946,3.97637335587186,4.190420491117434,4.051190034715036,3.662585261499642,3.340668760086925
4.276395716128079,3.8824446713172236,4.486345174948229,3.92570183947483,3.603787445128478,3.4960586604705175
4.124018312427857,3.8261629226892473,4.436550206441665,3.9216997640044275,3.597309920189969,3.717212918604709
3.3903318236435886,4.251683367707409,4.176105669907453,4.504369915312287,4.105402338378494,3.853417931783542
3.0033349916164465,4.415599744858646,3.840328274080117,4.7362785984283535,4.245811205918374,3.994799506409744
2.7129719708511857,4.349475714939761,3.9963775175173124,4.595708876831365,4.180011207933478,3.958054800866943
2.7462051770917206,4.21221409241573,3.3472436525479083,4.410996760171457,3.988541810997957,3.8086228995348144
2.9535015645872686,4.047197862280308,4.043864507835622,4.29060640230621,3.831565942796858,3.7487323338812195
3.245687611684467,3.869313013013757,4.916005885036599,4.166599895277136,3.651900827993469,3.8664971490431594
3.584672435105052,3.7634743748396087,5.0806847170210645,3.950470395585287,3.5166207516552426,3.793107095211875
4.124310194597713,3.575792508788614,5.858729357102145,3.6826552182776227,3.3282442629479174,3.692413788003591
3.9552319895685972,3.624309860012601,5.369870111117935,3.8064833216731855,3.3881337011937687,3.5734907291868034
4.170208148724175,3.619448463112564,4.689401135984769,3.8022309385984285,3.359362124698356,3.4781547698885817
4.165614743751567,3.8135915149935182,4.082024095516238,4.0186858953985185,3.4784937062896883,3.357279468081252
3.6496088423167983,3.8712597518569716,2.311031517066049,4.059627673660929,3.4434756149249095,3.0267134760939753
3.3572627593842608,3.703157739403951,2.761315376748056,3.7505747398813747,3.24746894556806,3.1783914360522663
2.8742174160500955,3.769704401843641,2.160231568326211,3.8405820753606568,3.383402263816744,3.2511687175442323
2.891138341324817,3.575738159036924,2.8319185569350735,3.636926385716432,3.257069091569533,3.1335729448347465
2.9619131975199053,3.6831201700573524,3.069031285860628,3.7745857770038227,3.363200440023765,3.2109192274696237
3.073716193538134,3.7708549677892726,3.2896318130555464,3.923284604104309,3.48374083446131,3.381589189257551
3.5207668857600627,3.6756070785300285,3.8707938786937963,3.8099430730804054,3.450586098301713,3.3875631709497633
2.8522252274403748,3.694094635143319,3.819782190529731,3.861399475927697,3.5241151764510255,3.3865927853609494
2.069013886940674,3.713895748444434,2.412683845394315,3.9422353392537333,3.6073493630965867,3.35026127963755
1.3164344233596914,3.6467501551614294,3.641535469087992,3.7990975743458266,3.606639277647553,3.6421284648777257
1.0997451384282098,3.765343924019959,5.04116445032957,3.9004451036410996,3.790766071606569,3.9557850125688114
1.1517249778179917,3.8085398107092554,6.101353992952092,4.003725059956727,3.9263666562129607,4.082055987576593
0.256285931980349,3.779258856683747,6.920689176133011,3.962639938372905,3.9430387980448884,4.123300145246087
0.48831168831169336,3.3672087370257224,4.8575902498330965,3.61819628875206,3.415621614071479,3.7105503271115707
1.57925792232132,2.8228097094502327,4.949341489464498,2.947133729964116,2.7284617530288506,3.2632286528157333
2.3652173913043306,2.4998342811306196,4.854732738213491,2.6517173334799837,2.246333963992701,3.000217002923298
2.368014444193678,2.4259618326005405,4.579538892856577,2.5115694823247514,2.1476614059951498,3.029539150467661
1.9062445943608175,2.4841483797451076,3.9320144944208475,2.4678443408728676,2.1919842531452125,3.0256040419669534
2.7878662100930374,2.2748402107933714,3.0844474488123157,2.213101403378874,1.932727490318239,3.088467569836183
3.271665716605332,2.0778622523274928,4.102695671355213,1.9627861085379454,1.7251859630454187,3.1203939827553673
3.168207724228189,2.2050850739054573,4.694911408106924,2.063740729436254,1.8272151407789883,3.228283459765532
3.5372980405637744,2.218405350918471,4.029807693607811,2.113649700088301,1.7629590665349546,2.920009330082915
3.6820342123775607,2.126875049590679,4.34460532688762,2.0758781524356964,1.6521526305068586,2.7623899964568173
4.163739483559237,1.9494989158624656,3.7571087358206836,1.8289522207180688,1.5014586558617256,2.7001407046342623
3.701303131609457,1.9439648890953174,4.822227933014801,1.8473856892924132,1.6194396781774643,3.0212359440938084
3.77307182433122,2.25577606923959,6.370598931344053,2.1028008702553347,2.0983486421848747,3.4180436127349227
3.912063325253845,2.6848210249570026,6.950525629507458,2.612841366048154,2.653898759428919,3.8239472066071034
3.847388066003443,3.1849464889479417,6.480587534183837,3.1225044490890124,3.2495343679857394,4.237464332795918
3.7367747152773134,3.255106119471998,6.283211808711333,3.2031879809808914,3.3285387433518876,4.177997209589793
3.3570565328320257,3.2724475620232285,6.7771638841243425,3.248066147750116,3.3666362585117904,4.161526544959313
3.6574950178353216,3.460797069818955,5.497596852043129,3.414218500030929,3.6847022208513835,4.092848552335554
3.152732368052291,3.7031306152093224,4.239383817266665,3.6932355251992717,3.9980335095654795,4.135822719663651
3.165367159315702,3.7226472372981054,3.8865040767975882,3.7201162313605836,3.9769575465787095,4.13272659136079
3.4897593955060646,3.85417970450656,3.6842580690208018,3.894194325040588,4.134679541868655,4.230259063622506
3.688084015546167,3.8702718663018296,2.9276876892486707,3.9259964294591114,4.168950660234243,4.110243689026235
4.176571579503419,3.9133797191944932,3.1641390724913636,3.999691492174309,4.151791380667626,4.063397336537219
4.397664665734746,3.8456703997186525,3.166906280293613,3.8967482279909498,3.9610555041106057,4.015447494010975
4.703332074294275,3.660171919911208,2.1207216117096497,3.7996815520773524,3.7120151415151867,3.808886219082932
4.998117932016433,3.722407223473429,2.7405051666518885,3.764497719011294,3.7740193537307865,3.9261339024546524
4.657904594387707,3.8315173490057592,3.1993228110152776,3.8901008382665294,3.8772592637999366,3.9388095074436023
4.530691783046459,3.86820080275546,2.7989256450299935,3.9596144042814245,3.9169411429573633,4.005442477165321
4.281948868873409,3.914845157378465,2.425817145132466,4.028176215171305,3.9192895141728146,3.901240541677553
4.312703163721787,4.138019789775697,3.181583789307893,4.285059565195593,4.066897658591596,3.943849860782824
4.367428800641804,4.055859164073149,2.535332025864418,4.197074387690949,3.954050658083555,3.8913127664786193
4.11623822449303,4.189780529114687,3.773784106623482,4.39376384080524,4.0715183400960795,4.1149754964491985
4.806544540115532,4.186617828135457,5.8441754255830665,4.336747666984144,4.040702490827903,4.325492673396323
5.081381500595494,4.219106368227861,5.938669480271017,4.308622069789133,4.0481253330308204,4.282124338093556
4.901448587033963,4.322247499294363,5.882992662222884,4.436881306980141,4.152932428426837,4.3282088427476255
4.341388110015432,4.42963109482028,5.024884117486213,4.5534301251949625,4.284894458386295,4.222997331042727
3.699400182143675,4.583541069390346,5.531955305810336,4.707754537240586,4.451737163893013,4.285894659222625
3.4011796179539644,4.6014897019765915,4.4216897778415,4.938170353684382,4.475873481261216,4.211579975730673
2.859762826191714,4.752489959999446,3.8262550507892787,5.128037675794075,4.684081921268251,4.2251580493739045
2.5582655826557943,4.817575490305582,4.360965234472797,5.188925685818415,4.741780716454013,4.206446270770118
2.7073385563951557,4.636913143816024,3.61491296552291,4.989452171208706,4.555046692321364,4.166075766156123
3.752698119025588,4.412068509622461,2.902623099111504,4.73132029133203,4.385255017863453,4.328692687126597
4.628145041933873,4.160259258969338,4.038926783599585,4.425964033151729,4.126025768395248,4.102927080543708
