"REAL","ARM","OLS","MAG","DFM","RDG","RDG2","LAS","LAS2","RFM","BMA","ESMB"
2.648321279473187,1.1050819135094372,1.6621248853094786,1.0807136432138975,0.9875135970019144,1.3174235915116816,1.2147818490622881,2.267814133871424,2.166527923366441,1.3488002871713194,0.5021029859255219,1.20078888560726
2.4298714701191493,1.3426381733582313,1.3815347772196387,1.3302496050670536,1.2510684374861794,1.3961507712584116,1.2190847733888541,2.146726407823451,2.1777631872049334,1.4436470476655134,0.9604043230799987,1.3892650781786804
1.9360112097150495,1.5546582566005622,1.595946851027,1.5383712836602597,1.48540677595035,1.564612349830024,1.2959455452049249,2.1991793703859157,2.184820711053901,1.3527121294570414,1.5857564091009586,1.5710958730039994
1.9741217375071507,1.3895846786985162,2.0235259661304754,1.366388409039074,1.3187331175419819,1.4742452444557284,1.3590816322511883,2.014749186781305,2.1445612516054244,1.4736800468254663,1.3890508572414397,1.49158285617187
1.8807243235684723,1.3403367446811627,1.961824977972193,1.326543189125034,1.2738356515062665,1.2877581320840854,1.3544365525049415,1.835479899169317,2.1015199057351155,1.6084209583588447,1.5256766672449027,1.504395667022324
1.993115958881786,1.552621491184987,1.430167716861265,1.5525785715353693,1.5181338283470878,1.4409811508842374,1.321207064796201,1.811875655685488,2.050101598096195,1.6750567745409026,0.9029170951819484,1.5103737748118131
2.432655145599538,1.728736760210611,2.1423122563043884,1.7539759086963986,1.702876981035244,1.548046720748763,1.52603240270131,1.7984127417944238,2.0343822181167748,1.9796395987942177,0.9992142209461354,1.6749797272143845
2.5791351902488824,2.164255750083024,2.916142658392505,2.2136844382546608,2.10913207956704,1.615467878255259,1.6857352049381789,2.0818960187385533,2.1396566673491444,1.8976970261158441,2.759189488278309,2.138478664940886
1.8550000578242187,2.0116099741689486,2.971694302057796,2.0536951149294183,2.0160881144971734,1.7809688117466456,1.5093365317354965,1.9938392141316645,2.084018483407307,2.093644693919676,2.4793055315958585,2.0353854920362684
1.4210617526428049,2.1585627000020997,2.526878133691608,2.2066658463694013,2.2007433536225993,1.9928031724626147,1.4795208272955107,2.0611360677977846,2.1605552264719003,1.9760985318028264,2.784445733976282,2.1380846027915172
1.4776334776334998,2.3211718771977927,1.7821091569791105,2.4082072941246637,2.3959504423429427,2.147374900961951,1.5752217428202138,2.046490725846235,2.204961912728315,2.103598950456991,1.911923256470806,2.1315764965916753
1.4944791774607502,2.4902272158031353,1.7255108740330698,2.590009881919041,2.6150256122424405,2.3851902314954625,1.7136253494649707,1.9134742286212707,2.19546863105162,2.2218266531265787,2.197685932464101,2.2891241822959842
1.3049111903587818,2.703754136674246,1.885799144016731,2.80795899779806,2.896145459883418,2.5621454337745804,1.8217822581631362,2.0259075284058174,2.0944831734013154,1.79450174898169,2.6847978196943605,2.4004890849423175
1.3841067935621787,2.673764864887589,1.4625857419634447,2.7789970551242993,2.8723245703145555,2.459714130420251,1.7683486432273763,1.9648228493627555,2.065424037494386,2.114230183591759,2.287582391865675,2.3658102495008055
1.6660746410606109,2.1480759321531244,1.8525436634801378,2.2471290203619105,2.263946117115189,2.140445299940632,1.5553356174650674,1.810221235341064,1.9724759486597412,1.7384140408004622,2.108323481863877,2.0048143083456247
2.108523574624277,1.975245017989344,1.9909479182531935,2.0665884598979276,2.0527024408630057,2.1630524672028675,1.4805849049983248,2.032444535967121,2.0770339305539083,1.6254971866606704,1.8039201571076005,1.8687960140101114
2.339998854065195,1.9569364909150455,1.7544933568339807,2.0489514500556316,2.023018459665562,2.2773731307212466,1.499807696231309,2.1123033763812558,2.1951719139353476,1.6006200345558943,1.3327321246917452,1.8081768814357908
2.523370894379573,2.0097152478692086,2.0506440043864904,2.1168346042704695,2.0642413893306792,2.2783730707926315,1.5250477646329366,2.19195948270898,2.202433059329422,1.5765217445089887,1.5988034333277208,1.8705138918956323
2.3627788284080076,2.113233851361456,1.650803982370094,2.2151798362303525,2.1594768676288942,2.362743039781885,1.4063310865019905,2.242609847390171,2.2471503536240567,1.559034359160952,1.2712762900310222,1.853097520648389
2.1425487924022324,2.207195398465,1.3349261354054653,2.316210713744716,2.239156753153275,2.4805148157002246,1.4774239922598735,2.211328134642188,2.2851829374711277,1.4803861541538312,2.329991248010492,2.047935313894045
2.556876292643029,2.0156428240581743,1.424577678566326,2.127371377173164,2.0343424212339176,2.4819931426960053,1.5128525098191625,2.3511977435700953,2.4134518057558845,1.6347294285804514,1.4834897970827687,1.8888400233862175
3.0355663022624935,2.01954723191597,1.2808521299210323,2.129666450163084,2.040892230389597,2.47611780733699,1.654380385838809,2.353553958521875,2.4551613266257695,1.6962049922702718,1.5188588311992504,1.9306730640575358
3.2372063520829997,2.144956468054115,1.6762799067145848,2.2463559098009376,2.1686169952225574,2.5975605194384976,1.8401884248204545,2.510124234001846,2.554318728871446,1.8007914242070755,1.6835401131876004,2.062681152023455
2.771821321355228,2.2327898780664714,2.13530884612095,2.3057375310959802,2.2534983818366094,2.4210954201989856,1.7560889492698055,2.6350238400790706,2.47463893511884,1.7861834282628235,2.2973444983274094,2.1580402288539915
2.461295952260345,2.0823837900969218,2.3469619388201717,2.1314716087540955,2.085611636888172,2.2904501592245428,1.7832821931342189,2.5270872421091113,2.449512878449824,1.9232151286348085,2.5575481014398393,2.1447179053425542
2.504243050950361,2.021654132264357,3.4862060035205715,2.06777947774446,2.016751103962806,2.4954878392831215,2.0335009551295236,2.7206022489832207,2.5752891767952852,1.9728694914576679,2.505957582533726,2.1705431314125465
2.933025145024315,2.3235789154937674,3.4577589744444057,2.3614575066787507,2.3317591568605454,2.7339561735270386,2.2380187847358264,2.971751994829553,2.7729168473363988,2.080594964583508,4.031096031073228,2.5913460295374318
2.925323731353302,2.7243494962931027,3.5431851656792293,2.7793434674944675,2.7528191769795978,2.8905332666308245,2.4675943968544565,3.097191486288091,2.867491841492597,1.9714420553032446,3.5945362943401107,2.7367966755367967
