BMA,BMA2,DFM2,LAS,LAS2,RDF,RDF2,RDG,RDG2,REAL,DFM,ARM,OLS,MAG,MAG2,RWM,ESMB
3.527568744676785,4.646064460321364,4.399954318982493,3.992392829885435,4.31167026069934,4.0814332027840665,3.137834620748568,4.335325954741465,3.865873368555029,4.087772912006549,4.424996225863502,4.519914235199671,4.087915444770788,4.459641034663869,4.591871056153393,4.484727684533163,4.191145562838596
3.484134132509234,4.645888926732971,4.602063797650909,4.163871520113112,4.373708176446349,4.264583341221908,3.1433075640222783,4.385143714700084,3.863990022763454,4.206576013566554,4.578606813917394,4.666185908054443,4.583210000889965,4.612010162944577,4.7422378974937125,4.671857297958209,4.318719951827907
3.4133204418846073,4.645778964378069,4.638198333427904,4.210458257483466,4.438290947797912,4.823575201142456,3.146127265341485,4.305377848616211,3.9843286715334543,4.206886841158353,4.601118621217778,4.685447183971041,3.4637130432476897,4.677755966528727,4.809895637158846,4.696548493987027,4.302662325181112
3.4933517534448653,4.6461978369297965,4.929544101673125,4.230042921878997,4.411836972865054,4.834886441638329,3.165087867674465,4.288072322813037,3.9209435826291705,3.747221833667491,4.78092163104927,4.828089921302011,3.566457387319834,4.86308439458969,5.015185999796129,4.87906808148742,4.39018474780608
3.579282882470467,4.646835356690642,4.974382533565693,4.27577839742039,4.45461487525601,5.664758428472146,3.2868701487645207,4.262084765972552,3.9608824589268905,3.594270228416563,4.835665694133801,4.889393265034961,4.201328287455706,4.930040313664876,5.08673508465691,4.957472842769417,4.533741689016998
3.798442015055444,4.646827557719198,4.763369864993829,4.289803070191688,4.44600696674943,6.12454590681209,3.1909930311889707,4.230717639680692,4.015648645765126,3.829215149969878,4.660770622117965,4.719750662066712,3.745594154089604,4.751567841604023,4.895874616395067,4.740237240920668,4.468009989023367
4.562068710072392,4.646031714788516,4.6565364441967745,4.364801881902341,4.518527653316742,4.238389671026085,3.2059359797602793,4.368916750653774,4.494699640225909,3.8359543632439097,4.488553641769507,4.509027908137582,3.7034002166197495,4.545191475817993,4.660603276653812,4.470534790404512,4.362214650356398
4.287370850229575,4.644368269857947,4.366377893898862,4.160126680078831,4.412486117070668,4.091760568673023,3.2089395399937723,4.196936880965936,4.3996751526658695,4.521768623581646,4.24890974228849,4.274443534744355,4.373920820639176,4.258545413728148,4.379136242495412,4.17052296487642,4.231568044813765
3.003474506588084,4.6419025910616565,4.116011731383467,4.07752139188536,4.359548540326559,4.104597465084753,3.2111935548610853,3.904754844631227,3.6189358505755065,4.936467403008948,4.03225263614901,4.0542140257692445,3.094219306224754,3.989302939787028,4.108217361162937,3.8891955305737658,3.880356151737629
2.6289122687803443,4.639664484227981,4.318971218957913,4.229030849048534,4.40210112326514,3.8424200666662056,3.2138102723779385,3.932268542421298,3.609727202481379,5.119443465469442,4.127629689417454,4.110531554792006,2.8007308383859613,4.075201474172302,4.1932270305394,3.96201436625421,3.8724160654525375
3.658106111272049,4.63739548672327,4.342778624225739,4.408102303579801,4.4713514363332,3.734179195640456,3.407981013512365,4.036694068580491,3.919544258177435,5.021329949083353,4.12737951373659,4.097236838042289,3.406139881518943,4.094113778156736,4.1919249104179155,3.9456855559726343,4.031907531725993
3.608698575453334,4.6350971326628,4.360191289121964,4.376015357734879,4.450666917025716,3.821129410070615,3.2193290502201948,4.047096103368923,4.0321877943674345,4.805683879918887,4.125763857031955,4.083982358807597,3.3361634434689664,4.107990399773989,4.197541459719889,3.929409166697963,4.0220841543684145
4.115491356482607,4.633528868420236,5.02046559272604,4.403175162767033,4.544922154046896,5.753663779492719,3.41397092604838,4.222304448372454,3.9634393552108262,4.417573437050715,4.5157833665719584,4.278118771622319,2.8411435122318465,4.33469686823507,4.419070244558092,4.178448571749492,4.309214865235732
4.5567582478646385,4.632309003120291,4.750674615979062,4.594473164527569,4.528162117682828,6.156475874846588,3.419933608095812,4.377852300824905,4.712468002675943,4.002109545694266,4.430699339006816,4.36958669032135,4.960804283317489,4.407473917236686,4.492637598171405,4.295906434013654,4.579081013179001
4.923715836813362,4.631096974169058,4.630978033135468,4.441124426607219,4.486157201702738,4.16177216283691,3.2380493001507293,4.366347136322337,4.646795477458793,3.6392024981984017,4.389972487810357,4.368475184920346,5.809257767804166,4.372973688598383,4.46654614382432,4.294818243748617,4.48187200439352
4.991115274327545,4.628585965247115,4.08650643825119,4.388717294765235,4.39655357511766,4.07128330316476,3.2363934647098045,4.266921550365641,4.602505924552793,3.5983940556088223,3.992061621097326,4.006514412113642,6.310772171141057,3.9702170675971433,4.038116739661605,3.8319461192097,4.321214061421482
4.327512485637916,4.625655892338422,3.993709778947287,4.282165921947616,4.360401455699913,4.108339129891644,3.242777719204351,4.243344391287161,4.3953498811252585,3.802917962209995,3.885906933161196,3.883583109269948,4.8205796155513845,3.81088971070685,3.8800594161780273,3.6751586892208823,4.102362275344524
4.974073538824869,4.623406059732627,4.15822355250491,4.387307340045017,4.389160870671605,4.084861426448919,3.244241979286378,4.348531939598508,4.7909826512480755,3.521304936673064,4.0522473948394975,4.064562917534003,5.553051807541192,4.021249061248321,4.098211461431554,3.907572985295749,4.313178999083416
4.803897330446018,4.621187885939625,4.09695819376762,4.445395317299573,4.351442613831876,4.129221911644535,3.2477684078912334,4.32391700711807,4.686333532648123,3.443309378155268,4.03751893189782,4.0679537433105155,5.795219015132739,4.032633186572148,4.0972647860239,3.9125762636274057,4.30995254181008
5.0808951106594575,4.620908618348842,5.054185015826975,4.814385094842727,4.422959410905448,4.075636869154472,5.3650111606665805,4.675819611146859,5.098543551138283,2.994232783161488,4.687733459199768,4.604143425671662,5.33243106965886,4.6407411407955514,4.704899847816044,4.599433614034114,4.785181799991043
5.814498924549821,4.621792536513274,5.708150049000357,4.9246943391838185,4.429053651096676,7.3663339142135955,5.980062434087113,4.9876154150180705,5.624497792963924,2.71494539324193,5.172111816098794,4.930318545245733,5.0793479718306305,5.013919431600995,5.101697333098904,5.017115848160166,5.318080666844125
5.852040583105595,4.623182622906863,5.970912509627626,4.825054707139741,4.386459744871312,8.040378653116516,6.682119613206194,5.010434562146197,5.433266549567518,2.3250051018920637,5.43537735966157,5.075834203053761,5.166184068277229,5.172589925183116,5.271430393229524,5.2033636351839805,5.476575275351784
5.426031725607003,4.62429166838394,5.902755066720465,4.763477461677388,4.344030009063999,7.474019816202647,5.599915139562172,4.917190922114614,5.162873548959217,2.421198223775201,5.340741078422857,5.001776568661347,5.5392603941821035,5.105043896149257,5.202026013030725,5.108272646455913,5.30078039701291
5.465434087763174,4.624795535638139,5.697545773227567,4.6405101407054,4.34080637515281,7.33738671474852,5.710740386639929,4.747961490655752,4.787746168677866,2.587975153110955,5.128128250402622,4.835551891597228,5.730250455662439,4.923257176144349,5.004195442871646,4.8950742798163835,5.191292277980255
5.2890392001644315,4.624221513204248,4.7796628880201455,4.82999744862874,4.359771067687025,3.734636614893101,5.296372077108661,4.654891866846474,4.78038660812769,2.3436141225578355,4.550146099759655,4.533308990424636,6.747672376137433,4.536158129439514,4.616652281341047,4.507629792973549,4.789369796983756
4.3986100750770625,4.622502971857707,4.682003049035416,4.361269063695401,4.284367004229092,3.721438232287719,3.2996399512464256,4.490187130988755,4.145370732859156,2.5615392416800775,4.316868281951767,4.208314574965467,4.829750261037942,4.147096716395529,4.22230656942314,4.09135230265634,4.2547384611804615
3.3422200058010123,4.61979415512558,4.289125883626615,4.280055781516371,4.18874351629488,3.910192163432103,3.4843943402344797,4.31944053033511,3.7168476013748686,2.7958048441302674,4.0059092159784155,3.9232370997842794,2.9054367172716997,3.823688438562473,3.8904669095063897,3.726635538631765,3.89507919316507
3.274236864751346,4.616988110896274,4.143862279599734,4.252483165663989,4.263668932017076,2.892401814483869,3.3028098039760887,4.304464545158988,3.64487788247511,2.8906498539491787,3.937687388017769,3.890179309584902,1.9708484436475469,3.7885163242213222,3.849214995265318,3.685178027859515,3.721161192507923
3.775496338119762,4.614757781721777,4.20271600225636,4.220763830587124,4.262706914266236,4.044661475042576,3.3032021903468634,4.266455326981757,3.506772040956641,2.603686635944702,4.056144899776093,4.0494564181483685,2.4998828226112897,3.960841201619985,4.041268915541815,3.8900358077799826,3.913010797717109
3.001028359624143,4.6117702056424905,3.991725854842493,4.082992184527947,4.237510501945955,4.017124605843357,3.3039783064470645,4.1110755837964925,3.2708605321439066,2.6122460715672036,3.8502644528550034,3.8281529881188687,1.6444696862832209,3.737346526190811,3.796713365545027,3.607343470606803,3.6728237749609054
2.6953116722387604,4.608586388673861,3.933256044496838,3.728840543556572,4.135553153116114,4.044900268047705,3.303999496318836,3.9318458432114,2.777947311897895,2.787546471069513,3.7921223063109504,3.765416427539577,2.289727318396787,3.6269917778821337,3.7141198223760727,3.528043597323279,3.591777464759118
1.726649381835315,4.604199558223826,3.168814230395723,3.3745049125373767,4.094199739918459,4.031275488881041,3.2968306728672423,3.6786554568245946,2.5674830824365813,2.688071949245985,3.345889944733612,3.4106083724966023,1.8625663261076812,3.218125721416138,3.2987197000387094,3.0745858336893135,3.2502072281601477
1.480911434079259,4.599079628237532,2.53902443777561,3.26551464525941,4.088292509280036,3.989925602227915,3.284310478003572,3.5868158257118385,2.502050445663717,2.5061726633079706,3.0458436810263634,3.1872785253733067,1.2601804966279435,2.9668547604704205,3.0219110043846893,2.7890602999749188,3.0404702516064357
1.625327234452924,4.592933480869105,1.883683445317775,3.0933863751878516,4.026490775072436,4.012719682094716,3.2858089803532455,3.394516563323727,2.4750934329740315,2.679601692380018,2.7031468623180706,2.8770233138024786,0.8212315862308901,2.628146354653239,2.679489934920438,2.391367161948538,2.832691012234631
