"REAL","ARM","OLS","MAG","MAG2","DFM","RWM"
2.628205128205119,1.7332141494273055,2.2235242464341063,1.753168768619378,1.6882434790752805,1.777571413285673,1.356946991716619
2.909073009856833,1.7711107822192083,2.0512538636723177,1.7919674983766236,1.7320247091706689,1.874380050444581,1.3999064938733858
3.065716703250887,2.1349175323107366,1.7775311094327786,2.166175447883441,2.1312646315872112,2.2827577070490386,1.8228511034046788
2.553962559839329,2.0890290954521418,1.7446832313962641,2.119828548167148,2.079706328571321,2.264279864070574,1.769205346266803
2.532141065945792,2.165422730845613,1.6686724176089487,2.199870466285415,2.16784963090321,2.368176160102936,1.8583021150876884
2.696733413869268,2.2912328263585615,0.7614526829718403,2.3456245462643026,2.3145601794544506,2.595200724035374,2.0045990557184736
2.6038498041028646,2.385549008270906,1.655490572623299,2.43855689699907,2.414124898985092,2.7706407178060526,2.1141540368503895
1.9358360118867157,2.6853413984494883,2.324810348892683,2.756099413775477,2.743168365264303,3.392335291050759,2.464730447706763
1.9493459907967914,2.999611611554359,1.727462902537031,3.073673700974426,3.077022134093459,3.5865277945689504,2.833341409648876
2.4129593810445105,2.5172392376177113,2.7271757198081596,2.5647505638094454,2.550048043798568,2.959702470827498,2.2664260361302375
2.527058368766877,2.550133186828922,2.5167620572913956,2.607691553303862,2.5881555936196228,2.953216836790492,2.3051900957398694
2.12386823348103,2.8188805908162418,2.664473243392993,2.895967101926892,2.8858110942970874,3.263100295031636,2.6212966769861787
2.5343518785433172,2.7988293951550345,2.766768067799388,2.851332981458379,2.853993829308465,3.2006120417472963,2.5980248805108865
2.837475823793012,2.6296145731598903,2.7492268732106337,2.6607360755509397,2.6616707073902006,2.9118211800095017,2.400308146349177
1.9688053203195999,2.700023348285836,3.3847946249917213,2.7450883180307306,2.7425263177164285,3.004593021974497,2.4844075041986646
2.0688501875343324,2.6796549136447814,3.3775092735628296,2.708717672439611,2.7159934441069185,2.9620626634405864,2.4611043047243863
2.347608254801381,2.7193603198362015,3.914027778849311,2.7425273911330046,2.7492668018780186,2.9885846487373278,2.5082916509610507
2.46848864638185,2.6145920172286865,5.553319768206859,2.629150093323185,2.6360445149969207,2.836517981547465,2.386293300377971
1.513444271803177,2.7509366247610996,5.109094114002565,2.7614074230925802,2.785566029172636,2.9124992966434977,2.5471480874656223
1.2366151805173864,2.5938676863578327,3.9437496642116807,2.604539019156494,2.6160525362026306,2.587110520794883,2.3628381001259475
0.5756452319755301,2.2243117187566392,4.891992431484304,2.2417441033174152,2.223056874694608,2.2274679408588907,1.930064872382766
0.9316182729594225,2.4650470387279775,3.872025744155121,2.475716481488377,2.481097737276196,2.4824041233232843,2.2139806232717767
0.2523168344849225,2.633374806713593,3.4857458137651123,2.6610303116002827,2.6684749716395957,2.6783913653338463,2.412437397443973
-0.3318662179019549,2.5112698788371692,4.029230255629254,2.5354285828460434,2.5332951349184953,2.5350749511017465,2.269727940663158
-0.1318438121696408,2.272862222298426,4.133926857710206,2.3059459009871466,2.280249407330686,2.264239369217295,1.991835198172522
0.20954488734017396,2.2794768898874636,4.01501126859047,2.3227532740898194,2.2906439495923894,2.2712611690352595,2.0018942883560094
1.421991260186628,1.6161398862273242,2.0312251508846,1.6377501922083741,1.5622170191526725,1.6089914170751562,1.2284097735557646
1.5580503189061012,1.8076554366502064,2.507398061236251,1.8242310550174718,1.7731884758554075,1.7395972410814091,1.4558330387395164
1.855842488901427,1.6261466946308085,2.2943129291401263,1.620448386786748,1.572288526765164,1.5236230468888734,1.2478965395355186
2.3222095175226443,1.415363084794641,1.9409054511840358,1.4047716831845185,1.3452281145570726,1.290132979603146,1.007520343149826
2.5985652527298786,1.0840629310058438,1.5786358531387554,1.0791940292516486,0.9869818294503873,0.961848493813422,0.6273369137356739
2.648321279473187,1.1050819135094372,1.6621248853097612,1.097706028036884,1.0084807965706628,0.9875135970019037,0.6572167628579766
2.4298714701191493,1.3426381733582313,1.3815347772199384,1.3390160473091648,1.2684627407286246,1.25106843748619,0.9347796006650432
1.9360112097150495,1.5546582566005622,1.595946851026462,1.5550788643120717,1.4999445281836317,1.4854067759503506,1.1826152311841327
1.9741217375071507,1.3895846786985162,2.0235259661309155,1.3748516764293992,1.3193625834596883,1.318733117541985,0.9906355726132418
1.8807243235684723,1.3403367446811627,1.9618249779691521,1.3304921608277602,1.2697995790467174,1.2738356515062577,0.9312504135902486
1.993115958881786,1.552621491184987,1.430167716861035,1.5534658140464157,1.5021806163156601,1.5181338283470873,1.1744111312880554
2.432655145599538,1.728736760210611,2.1423122563048684,1.7407382197688825,1.696639616087739,1.7028769810352236,1.3761457145277256
