BMA,BMA2,DFM2,LAS,LAS2,RDF,RDF2,RDG,RDG2,REAL,DFM,ARM,OLS,MAG,MAG2,RWM,ESMB
1.8430185099987164,4.2560686162153285,1.9199750001479712,2.4579324152526003,3.287889672082814,4.733936736927486,4.324373001694289,2.864585509360467,2.7532338308063977,3.1800049155843,3.918557434474239,4.290984017187251,1.532536392089853,4.0370820408515415,4.289760245260854,4.182552434337649,3.3794990571124974
2.509506019052153,3.234894357937671,2.2596100134374355,2.5381722870583863,3.4241599984334545,4.749859788607071,4.535165409430308,3.0146577158936525,3.20879420604647,3.6709337349397857,4.022068887474241,4.394447628852446,1.9638147494818423,4.194440090172237,4.42328027530863,4.30692438773015,3.518653054327743
2.5531972941988963,1.213973475699947,2.5317974865165387,2.3952060451507733,3.479674598799763,5.0111950560223715,5.020834404871934,3.1307882001020477,3.4181418433431303,3.628109406070612,4.092743299164208,4.457886470185981,2.557958991916265,4.288138824005315,4.512873709463822,4.382915531211,3.536488348710132
3.3406679627447486,3.455443726673273,2.222210799713159,2.898169197690687,3.5769365503544712,4.586999449880542,4.25718214450853,3.2153485910284942,3.675286878954586,4.048840780553542,3.7745578812660368,4.119370871653333,3.670496462578998,3.9822837951584145,4.169812283493891,3.9769982966887167,3.6614509928258583
3.7220533144081687,1.8239513497931596,2.2517486339392225,3.1090380250544367,3.6281493818265993,4.780933904122402,4.60847796792228,3.3406687600869245,3.6830426465778854,4.016905411975946,3.662585261499607,3.97637335587186,4.190420492598303,3.819308614156559,3.9859796740615954,3.8059815046777343,3.6259141924397826
3.781417028276797,4.5922814967386145,2.411358359862814,3.2951805888890187,3.642834746011153,4.751573412548324,4.382981853123107,3.496058660470518,3.7309867691378695,4.276395716128079,3.603787445128481,3.882444671317224,4.486345175751503,3.750566876455097,3.895662682451753,3.6945275682819214,3.826533822296279
3.931024589333779,4.0212630460093735,2.7185210043554187,3.649519089300571,3.9304258234851983,4.215542414721907,3.19182091504247,3.7172129186047087,3.7155350019235134,4.124018312427857,3.5973099201899585,3.8261629226892473,4.436550199357611,3.7512528878562383,3.856102743740102,3.628558676666604,3.7457868102184464
3.8144405250996543,3.1138559413293634,3.894348262240453,3.837002989902734,4.1724134785786795,4.265991342270371,4.327340419463028,3.8534179317835417,3.7401267124880953,3.3903318236435886,4.105402338378475,4.251683367707409,4.176105672233512,4.237462346175708,4.3562743491876175,4.139788963618805,4.019043642697163
4.0893508351393875,4.00566774765484,4.014539705723112,3.993578092741549,4.175902281121501,4.303566284175259,2.98636735590579,3.994799506409743,3.824594995105647,3.0033349916164465,4.245811205918363,4.415599744858646,3.8403282655555846,4.4427738572616615,4.56503115643157,4.337240896374979,4.082343462025176
4.336241086071173,2.7942436918630493,3.9330376646824727,3.890728186420598,4.047184265620978,4.231760018747613,4.06188789784463,3.958054800866944,3.972182522107998,2.7129719708511857,4.180011207933454,4.349475714939761,3.996377528285928,4.342551458323959,4.466563300163158,4.258508331200648,4.054587178338157
