"p_value","BMA","BMA2","DFM2","LAS","LAS2","RDF","RDF2","RDG","RDG2","DFM","ARM","OLS","MAG","MAG2","RWM","ESMB"
"BMA",NA,0.0379112070215144,0.0697552634336216,0.00247489794037614,0.000875257547084729,0.628588166584165,0.159833207697053,0.000385427412754158,0.0065405023640146,0.00494845148591949,0.00527405759971522,0.358352332961969,0.00518295890383591,0.0197568329906865,0.202177556223607,0.000363108971753068
"BMA2",0.0379112070215143,NA,0.54073076613028,0.56238947114913,0.11756319246614,0.0921735936548122,0.616751286180695,0.308730553535576,0.00129266570940745,0.258739423183549,0.774246495027714,0.169235623562689,0.987968939445699,0.672195220416385,0.436050928779151,0.0268969192687925
"DFM2",0.0697552634336216,0.54073076613028,NA,0.884313165438559,0.0789223884948762,0.124668077217668,0.485555074122924,0.00317410248670957,0.00850058566759615,0.00180997026789131,0.169129524932185,0.202780962676425,0.364121907696374,0.875835828809799,0.700197423714541,0.00576156454890331
"LAS",0.00247489794037623,0.56238947114913,0.884313165438559,NA,0.0230141674551037,0.00586762024289243,0.446311873108773,0.10336845453063,0.0498606360779583,0.210287696653575,0.369693962331069,0.228003071294133,0.479699694421985,0.792162542866714,0.890530149866933,0.0234496404082671
"LAS2",0.000875257547084806,0.117563192466141,0.0789223884948762,0.0230141674551037,NA,0.00385180957068858,0.899793213554792,0.718486933609833,0.112731674218858,0.634565261421413,0.310069919286205,0.134142930997855,0.24003296981754,0.140237116975014,0.141839665960287,0.445227824300163
"RDF",0.628588166584165,0.0921735936548123,0.124668077217668,0.00586762024289245,0.00385180957068854,NA,0.14510115720019,0.0147843438980704,0.017180189451397,0.0298971307558253,0.024951800778845,0.402772600853162,0.0234416694411275,0.0449623772202048,0.168815926825572,0.00681894494223956
"RDF2",0.159833207697053,0.616751286180695,0.485555074122925,0.446311873108773,0.899793213554792,0.14510115720019,NA,0.977967328840211,0.15116580170249,0.939174164994963,0.765346379867921,0.128750831144407,0.703389003142573,0.584563027071888,0.48674004723207,0.773557915183079
"RDG",0.000385427412754061,0.308730553535576,0.00317410248670952,0.10336845453063,0.718486933609833,0.0147843438980703,0.977967328840212,NA,0.130963971512819,0.818324287780018,0.297180599375901,0.146476699279896,0.187402265055669,0.0868318716180619,0.146446077871668,0.228797465684263
"RDG2",0.00654050236401475,0.00129266570940742,0.00850058566759613,0.0498606360779584,0.112731674218858,0.0171801894513968,0.15116580170249,0.130963971512818,NA,0.052396784004885,0.0672128581140466,0.0715009636905926,0.06994309507857,0.0507337382018255,0.0367167511890751,0.157187785992588
"DFM",0.00494845148591955,0.258739423183549,0.00180997026789137,0.210287696653576,0.634565261421413,0.0298971307558254,0.939174164994963,0.818324287780018,0.0523967840048849,NA,0.268113242192648,0.15011964018998,0.202022558688256,0.0942190943039044,0.126161464964052,0.133676783033524
"ARM",0.00527405759971516,0.774246495027714,0.169129524932185,0.369693962331069,0.310069919286204,0.0249518007788449,0.765346379867921,0.297180599375901,0.0672128581140465,0.268113242192648,NA,0.17972713837467,0.133147997725037,0.0160065300044123,0.128031237242815,0.0916339229835959
"OLS",0.358352332961969,0.169235623562689,0.202780962676425,0.228003071294133,0.134142930997855,0.402772600853162,0.128750831144407,0.146476699279896,0.0715009636905926,0.15011964018998,0.17972713837467,NA,0.192868325306107,0.216464819463308,0.237224375852173,0.124542217036938
"MAG",0.00518295890383577,0.987968939445699,0.364121907696374,0.479699694421985,0.24003296981754,0.0234416694411275,0.703389003142573,0.187402265055669,0.06994309507857,0.202022558688256,0.133147997725036,0.192868325306107,NA,0.00196118263015335,0.193958973906867,0.078321094098091
"MAG2",0.0197568329906865,0.672195220416385,0.875835828809799,0.792162542866714,0.140237116975014,0.0449623772202049,0.584563027071888,0.0868318716180618,0.0507337382018256,0.0942190943039045,0.0160065300044123,0.216464819463308,0.00196118263015332,NA,0.441658553824351,0.0468460583481161
"RWM",0.202177556223608,0.436050928779151,0.700197423714541,0.890530149866933,0.141839665960287,0.168815926825572,0.48674004723207,0.146446077871668,0.0367167511890751,0.126161464964051,0.128031237242815,0.237224375852173,0.193958973906867,0.441658553824352,NA,0.0830282210707332
"ESMB",0.000363108971753074,0.0268969192687926,0.00576156454890342,0.0234496404082671,0.445227824300163,0.00681894494223956,0.773557915183079,0.228797465684263,0.157187785992588,0.133676783033524,0.0916339229835958,0.124542217036938,0.0783210940980911,0.0468460583481161,0.0830282210707332,NA
