"p_value","BMA","BMA2","DFM2","LAS","LAS2","RDF","RDF2","RDG","RDG2","DFM","ARM","OLS","MAG","MAG2","RWM","ESMB"
"BMA",NA,5.48637930653929e-08,0.389850104722228,0.756294242856014,0.0037890579862686,0.503436733503455,0.625303424355445,0.173222895834175,0.0100129991594415,0.144841032494203,0.190609017312662,0.0656709610988793,0.222337313213354,0.298688808430476,0.256051456261358,0.156853947504019
"BMA2",5.4863793064186e-08,NA,2.79644942757784e-08,1.84763315758119e-11,3.5527136788005e-15,0.00549263895052121,1.23989707390137e-12,2.25108820472997e-11,2.86201062849045e-10,5.74512881712508e-10,1.80969417229448e-09,0.333463752220277,3.01411295922094e-09,1.43819747222551e-08,1.31118510271477e-07,1.8846035843012e-11
"DFM2",0.389850104722228,2.79644942156864e-08,NA,0.401050104645211,0.000177264564013652,0.109825364524063,0.59877630638011,0.0995692795569516,0.0017356932962258,0.00219836080065017,0.047902014608699,0.106739695025067,0.0981776523209319,0.315194038136976,0.328051060653428,0.132435327118113
"LAS",0.756294242856014,1.84762249114331e-11,0.401050104645211,NA,1.37980478506817e-07,0.236263194699267,0.920405210321189,0.0271494223264206,0.0231974245037527,0.0475760396387193,0.050088075206419,0.163447115565375,0.0575649455866598,0.138812002107638,0.201552872872724,0.0357918471471483
"LAS2",0.0037890579862685,3.61023856741427e-15,0.000177264564013679,1.37980478598365e-07,NA,0.298725513778444,4.94481679869097e-06,3.44190949741474e-07,2.11435453056907e-06,4.6112872864601e-06,8.86253235798939e-06,0.720400935565778,1.31938957856903e-05,5.35242266783698e-05,0.00023030661784218,2.64502473257267e-07
"RDF",0.503436733503455,0.00549263895052126,0.109825364524063,0.236263194699267,0.298725513778444,NA,0.39252042287843,0.0714124241825549,0.0389682918446139,0.0552601191499005,0.0484612755283993,0.408224152388159,0.0466514371140478,0.0547423469230188,0.0492887119982108,0.0783835564362112
"RDF2",0.625303424355445,1.23982360283763e-12,0.59877630638011,0.920405210321189,4.94481679859426e-06,0.39252042287843,NA,0.185434031387131,0.00484407567331879,0.165866904301937,0.260427050773091,0.126313827944778,0.31499505613644,0.440990522091947,0.425145778157055,0.147986453761195
"RDG",0.173222895834175,2.25108290206649e-11,0.0995692795569518,0.0271494223264206,3.44190949716486e-07,0.0714124241825549,0.185434031387131,NA,0.0585793366275,0.457889596617296,0.818664033162024,0.0851090555276028,0.982065321924934,0.596097072279951,0.920669373225567,0.994305282788612
"RDG2",0.0100129991594414,2.86201046077505e-10,0.00173569329622578,0.0231974245037527,2.11435453044696e-06,0.038968291844614,0.00484407567331884,0.0585793366275001,NA,0.047884472910198,0.0901612948463245,0.0333640768726369,0.0914603839211521,0.0578748864365883,0.111522854291936,0.0366373312074389
"DFM",0.144841032494203,5.74512805427263e-10,0.00219836080065007,0.0475760396387192,4.61128728646472e-06,0.0552601191499005,0.165866904301937,0.457889596617296,0.0478844729101979,NA,0.66217429012119,0.0771280149126403,0.491958925081939,0.204935185125008,0.661263265486961,0.50943125770565
"ARM",0.190609017312662,1.80969419199076e-09,0.047902014608699,0.0500880752064191,8.86253235797237e-06,0.0484612755283994,0.260427050773092,0.818664033162024,0.0901612948463244,0.66217429012119,NA,0.0843438573131931,0.213334150322658,0.0166409513023389,0.715382515556406,0.839747354561821
"OLS",0.0656709610988793,0.333463752220277,0.106739695025067,0.163447115565375,0.720400935565778,0.408224152388159,0.126313827944778,0.0851090555276028,0.0333640768726369,0.0771280149126403,0.0843438573131929,NA,0.089396378062319,0.0998002900875461,0.0853443285528437,0.082617023721469
"MAG",0.222337313213354,3.01411309591453e-09,0.0981776523209319,0.0575649455866597,1.31938957857455e-05,0.0466514371140477,0.31499505613644,0.982065321924934,0.0914603839211521,0.491958925081939,0.213334150322658,0.089396378062319,NA,0.00441615186411578,0.873006203810889,0.982034857684924
"MAG2",0.298688808430476,1.43819748462357e-08,0.315194038136976,0.138812002107638,5.35242266783215e-05,0.0547423469230188,0.440990522091947,0.596097072279951,0.0578748864365881,0.204935185125008,0.0166409513023389,0.099800290087546,0.00441615186411592,NA,0.649861602718307,0.629081037812738
"RWM",0.256051456261358,1.31118510436412e-07,0.328051060653428,0.201552872872724,0.000230306617842205,0.0492887119982107,0.425145778157055,0.920669373225567,0.111522854291936,0.661263265486961,0.715382515556406,0.0853443285528438,0.873006203810889,0.649861602718307,NA,0.921953191526805
"ESMB",0.156853947504019,1.88460341949742e-11,0.132435327118113,0.0357918471471483,2.64502473110162e-07,0.0783835564362112,0.147986453761195,0.994305282788612,0.0366373312074391,0.50943125770565,0.839747354561821,0.082617023721469,0.982034857684924,0.629081037812738,0.921953191526805,NA
