"p_value","BMA","BMA2","DFM2","LAS","LAS2","RDF","RDF2","RDG","RDG2","DFM","ARM","OLS","MAG","MAG2","RWM","ESMB"
"BMA",NA,0.0150509564362229,0.658084642825022,0.187580910994582,0.931725974594149,0.515743605150272,0.229632698368038,0.0852088322279991,0.0316946435461227,0.0922104146092546,0.0999614708136063,0.0137784711651171,0.105533002892755,0.133218994115455,0.108362278192941,0.0865469399026688
"BMA2",0.0150509564362229,NA,0.00302555067624599,3.02975422528107e-11,3.5527136788005e-15,0.477874835171774,7.42157756539186e-06,1.98761007652593e-11,2.90772228517255e-09,1.51988799323988e-09,3.27947691225461e-09,0.437332497579975,4.83669215789462e-09,2.42515549864208e-08,2.1901658464607e-07,8.71360761323103e-11
"DFM2",0.658084642825022,0.00302555067624584,NA,0.319269847940665,0.501190989265906,0.1315124885002,0.169334949520149,0.0966493229881507,0.0339376126983901,0.0792038653370883,0.0998228112694242,0.221690644428189,0.102925028119955,0.143991835086269,0.108505169511037,0.0897838042270405
"LAS",0.187580910994582,3.02976514707521e-11,0.319269847940665,NA,2.74455672538071e-06,0.120196949281928,0.916279278751408,0.0557282181979439,0.0722250300408689,0.176638838254099,0.185500198506115,0.0733297822649313,0.195385767818701,0.439974190683672,0.425846257072296,0.10407797132657
"LAS2",0.931725974594149,3.46752515388214e-15,0.501190989265906,2.74455672544249e-06,NA,0.4917748483111,0.0485803999914967,5.10939550713019e-06,9.90211150164733e-05,0.000151486847641991,0.000205546965314607,0.373639095872894,0.000253292808974237,0.00102215303565334,0.00255314940136486,1.94554851482565e-05
"RDF",0.515743605150272,0.477874835171774,0.1315124885002,0.120196949281929,0.4917748483111,NA,0.0884044787331697,0.0645037327969105,0.0532044572454073,0.0617433936437033,0.0640159333352956,0.964995683790556,0.0643829106161986,0.0726947946066372,0.0682398043618213,0.0624336770495706
"RDF2",0.229632698368038,7.42157756539851e-06,0.169334949520149,0.916279278751408,0.0485803999914965,0.0884044787331695,NA,0.2410117073373,0.018971662262468,0.200823469041108,0.291470198192869,0.0693068613942484,0.331771655143959,0.499410475721728,0.416129398359209,0.214868559755002
"RDG",0.085208832227999,1.98760934741152e-11,0.0966493229881507,0.055728218197944,5.10939550710419e-06,0.0645037327969105,0.2410117073373,NA,0.233081895191842,0.727212961282225,0.618643731426168,0.0361295983645569,0.541866790693602,0.204716292798547,0.612098063488996,0.791143858945906
"RDG2",0.0316946435461228,2.90772230163725e-09,0.0339376126983902,0.0722250300408689,9.90211150163258e-05,0.0532044572454075,0.0189716622624679,0.233081895191842,NA,0.0971215074280071,0.138102814395003,0.0134682678103726,0.147434146981601,0.0708981408690521,0.131007405047619,0.166299873056517
"DFM",0.0922104146092546,1.51988794509555e-09,0.0792038653370882,0.176638838254099,0.000151486847642141,0.0617433936437032,0.200823469041108,0.727212961282225,0.0971215074280072,NA,0.717686947217172,0.0369323293209368,0.607493021367505,0.141082369384046,0.616704182656563,0.822777933253946
"ARM",0.0999614708136062,3.27947696246438e-09,0.0998228112694243,0.185500198506115,0.000205546965314766,0.0640159333352956,0.291470198192869,0.618643731426168,0.138102814395003,0.717686947217172,NA,0.0410132023687689,0.520627046615789,0.00283532713413477,0.654310891714932,0.699758509677174
"OLS",0.013778471165117,0.437332497579975,0.221690644428189,0.0733297822649313,0.373639095872894,0.964995683790556,0.0693068613942485,0.0361295983645569,0.0134682678103726,0.0369323293209369,0.0410132023687688,NA,0.0432092557080068,0.052157825092658,0.0417223107681775,0.0356230986885115
"MAG",0.105533002892755,4.83669212549003e-09,0.102925028119955,0.195385767818701,0.00025329280897436,0.0643829106161986,0.331771655143959,0.541866790693602,0.147434146981601,0.607493021367505,0.520627046615789,0.0432092557080068,NA,0.000887004727195301,0.727536144708819,0.618468980020497
"MAG2",0.133218994115455,2.42515549147288e-08,0.143991835086269,0.439974190683672,0.00102215303565339,0.0726947946066372,0.499410475721728,0.204716292798548,0.0708981408690521,0.141082369384046,0.00283532713413481,0.0521578250926581,0.000887004727195162,NA,0.629942328095114,0.228121218776019
"RWM",0.108362278192941,2.19016584699521e-07,0.108505169511037,0.425846257072296,0.00255314940136488,0.0682398043618213,0.416129398359209,0.612098063488996,0.131007405047619,0.616704182656563,0.654310891714932,0.0417223107681773,0.727536144708819,0.629942328095114,NA,0.642079642357281
"ESMB",0.0865469399026688,8.71361661051646e-11,0.0897838042270404,0.10407797132657,1.94554851481031e-05,0.0624336770495705,0.214868559755001,0.791143858945906,0.166299873056517,0.822777933253946,0.699758509677174,0.0356230986885116,0.618468980020497,0.228121218776019,0.642079642357281,NA
