"p_value","BMA","BMA2","DFM2","LAS","LAS2","RDF","RDF2","RDG","RDG2","DFM","ARM","OLS","MAG","MAG2","RWM","ESMB"
"BMA",NA,0.609548023501543,0.153603061513748,0.0781955070024174,0.686761034263672,0.85754903440087,0.187616676220223,0.0149083436489397,0.00233792818319256,0.0721112522872462,0.118319682028608,0.0915949215479987,0.143572918431047,0.232543110353671,0.422538779688165,0.00416421770846931
"BMA2",0.609548023501543,NA,0.00996270946197408,0.00538057414064497,0.980896248440147,0.44057132993951,0.00481697437587436,3.45177180438583e-06,0.000295086620103024,0.00233638137035941,0.0118503371535361,0.135322629044027,0.0134729480158553,0.0325221961821602,0.169335708778198,2.13304136131853e-06
"DFM2",0.153603061513748,0.0099627094619741,NA,0.991892446781533,0.198507116630889,0.416771112232278,0.902690039042332,0.0910242485606587,0.00603236708382493,0.0259890806878742,0.537855932203481,0.0810351808172861,0.73539269898179,0.856786881707665,0.709129964785427,0.0552402904333256
"LAS",0.0781955070024174,0.00538057414064485,0.991892446781533,NA,0.0639699576084903,0.363363043917005,0.871032705198293,0.28385101093406,0.0926211252786275,0.666689765867138,0.74906415897244,0.0740097850674987,0.850884719746554,0.929517523403015,0.824296374312567,0.127954669421775
"LAS2",0.686761034263672,0.980896248440147,0.198507116630889,0.0639699576084904,NA,0.708720639037726,0.216326470821338,0.0418238526085741,0.00477323086203096,0.106867843878331,0.124018373182571,0.110556466651135,0.155037494283583,0.231147696550567,0.392988278419888,0.0226206140581811
"RDF",0.85754903440087,0.44057132993951,0.416771112232278,0.363363043917005,0.708720639037726,NA,0.00961791990953986,0.11308123057975,0.0627355173709669,0.279705330990971,0.333332576718616,0.114297661628356,0.362511184642041,0.461671201136017,0.632651735052717,0.0852051741358304
"RDF2",0.187616676220223,0.00481697437587434,0.902690039042332,0.871032705198293,0.216326470821338,0.0096179199095399,NA,0.404273494040247,0.139673886430077,0.787371598650675,0.867947610405449,0.0774768817750364,0.966449304846007,0.830916609040579,0.7502456554006,0.290011774550501
"RDG",0.0149083436489397,3.45177180442814e-06,0.0910242485606588,0.283851010934059,0.0418238526085741,0.113081230579749,0.404273494040247,NA,0.0955566355626658,0.341844248816417,0.421552219587882,0.0635988559811373,0.286656604799739,0.156202979262495,0.305459938705366,0.376949926945809
"RDG2",0.00233792818319259,0.000295086620103003,0.00603236708382503,0.0926211252786276,0.0047732308620309,0.0627355173709668,0.139673886430078,0.0955566355626659,NA,0.0199851457933768,0.0571872363170689,0.0414703260408905,0.0561769495049311,0.0417344743944109,0.0683727924729035,0.129137261682645
"DFM",0.0721112522872461,0.00233638137035941,0.0259890806878741,0.666689765867138,0.106867843878331,0.279705330990971,0.787371598650675,0.341844248816416,0.0199851457933768,NA,0.821986393391669,0.0724791914693864,0.583241848434151,0.294452697905251,0.400082852374661,0.191648642558907
"ARM",0.118319682028608,0.0118503371535361,0.537855932203481,0.74906415897244,0.124018373182571,0.333332576718616,0.867947610405449,0.421552219587882,0.0571872363170689,0.821986393391669,NA,0.0748868337559874,0.209560114393085,0.024046336251117,0.303982143192483,0.273035933936177
"OLS",0.0915949215479985,0.135322629044027,0.081035180817286,0.0740097850674988,0.110556466651135,0.114297661628356,0.0774768817750364,0.0635988559811373,0.0414703260408906,0.0724791914693865,0.0748868337559874,NA,0.0778842597862313,0.0844494901658641,0.0917226433682514,0.0594726648016441
"MAG",0.143572918431047,0.0134729480158551,0.73539269898179,0.850884719746554,0.155037494283583,0.362511184642041,0.966449304846007,0.286656604799739,0.0561769495049309,0.583241848434151,0.209560114393085,0.0778842597862312,NA,0.00391082991840601,0.407623013703987,0.176468515021698
"MAG2",0.232543110353671,0.0325221961821603,0.856786881707665,0.929517523403015,0.231147696550568,0.461671201136017,0.830916609040579,0.156202979262495,0.0417344743944108,0.294452697905251,0.024046336251117,0.0844494901658641,0.00391082991840586,NA,0.679734086186185,0.0955059936539338
"RWM",0.422538779688165,0.169335708778198,0.709129964785427,0.824296374312567,0.392988278419888,0.632651735052717,0.7502456554006,0.305459938705366,0.0683727924729034,0.400082852374661,0.303982143192483,0.0917226433682513,0.407623013703987,0.679734086186185,NA,0.238714339232356
"ESMB",0.00416421770846941,2.13304136132773e-06,0.0552402904333255,0.127954669421775,0.0226206140581809,0.0852051741358305,0.290011774550501,0.376949926945809,0.129137261682645,0.191648642558907,0.273035933936177,0.0594726648016441,0.176468515021698,0.0955059936539338,0.238714339232356,NA
