"BMA","BMA2","DFM2","LAS","LAS2","RDG","RDG2","RFM","RFM2","REAL","ARM","OLS","MAG","MAG2","DFM","RWM"
1.7903602571505464,1.8814033986954874,1.9199208373358503,2.9630788605116316,3.1655512117763096,2.8621707533354415,2.7532338308063986,4.733936736927486,4.340778298510126,3.1800049155843,4.290984017187251,1.5325363964751761,4.0370820408515415,4.289760245260854,3.9185574344742586,4.182552434337649
2.440520004975577,2.47437330494074,2.25956026127976,3.1042787786205244,3.2966005082762715,3.014896847261915,3.2087942060464694,4.749859788607071,4.619987526773304,3.6709337349397853,4.394447628852446,1.9638147511490784,4.194440090172237,4.42328027530863,4.0220688874742425,4.30692438773015
2.8448938476880046,2.72630885382427,2.5317474323713736,3.0798070405677636,3.3265952742142137,3.129049359755175,3.41814184334313,5.0111950560223715,5.202114609570209,3.628109406070612,4.457886470185981,2.557958980578527,4.288138824005315,4.512873709463822,4.092743299164208,4.382915531211
3.218551892795448,3.106296651680524,2.222169078565943,3.347384678417252,3.468370211768263,3.2110790160907063,3.675286878954589,4.586999449880542,4.442359936090461,4.048840780553542,4.119370871653333,3.670496463517015,3.9822837951584145,4.169812283493891,3.7745578812660434,3.9769982966887167
3.540490971861033,3.7690438883331847,2.2517144090309404,3.4949063165610035,3.5610098663246648,3.337241292374033,3.683042646577886,4.780933904122402,4.702167036994957,4.016905411975946,3.97637335587186,4.190420491117434,3.819308614156559,3.9859796740615954,3.662585261499642,3.8059815046777343
3.9193283500983136,3.947277590737892,2.4113319896322576,3.5791401740811346,3.584662360027239,3.49310134608486,3.7309867691378695,4.751573412548324,4.401735604027876,4.276395716128079,3.8824446713172236,4.486345174948229,3.750566876455097,3.895662682451753,3.603787445128478,3.6945275682819214
4.026007747066625,4.068012055350978,2.7185003097099263,3.925212538254824,3.883654525821865,3.7135681387077697,3.715535001923513,4.215542414721907,3.109755314509224,4.124018312427857,3.8261629226892473,4.436550206441665,3.7512528878562383,3.856102743740102,3.597309920189969,3.628558676666604
4.0666214359803545,4.384743113099023,3.8943376500631572,4.151801482077889,4.112619703434367,3.847761680040579,3.7401267124880953,4.265991342270371,4.151275060531869,3.3903318236435886,4.251683367707409,4.176105669907453,4.237462346175708,4.3562743491876175,4.105402338378494,4.139788963618805
4.127517304832678,4.097877297058682,4.0145268921753665,4.187802439468675,4.134199500574701,3.9878227697612436,3.824594995105646,4.303566284175259,2.918234286330935,3.0033349916164465,4.415599744858646,3.840328274080117,4.4427738572616615,4.56503115643157,4.245811205918374,4.337240896374979
4.519231186006072,4.432926905231332,3.9330288535246303,4.088635359472823,4.018408089634247,3.9525101550919386,3.9721825221079987,4.231760018747613,3.8379562239018212,2.7129719708511857,4.349475714939761,3.9963775175173124,4.342551458323959,4.466563300163158,4.180011207933478,4.258508331200648
4.022205734982962,3.985758166434343,3.45522462843918,3.9563184013853756,3.9153390749563783,3.8026848689837918,3.771268409530972,4.033445570060754,3.0739895695905153,2.7462051770917206,4.21221409241573,3.3472436525479083,4.184142868783847,4.312530772372578,3.988541810997957,4.094484115342592
4.0269548558602715,4.36171793589906,3.258071621003436,3.975697799039297,3.925426281351342,3.7429397923875865,3.7787631214698485,4.068937955149544,4.0663092687118265,2.9535015645872686,4.047197862280308,4.043864507835622,4.024382569815068,4.139393983346782,3.831565942796858,3.8968292017516593
4.601313294754404,4.774615565980604,2.988940052839533,4.130265934250222,4.026827976017235,3.8600594504845183,4.140679945317975,3.8467730576405628,4.145963734972151,3.245687611684467,3.869313013013757,4.916005885036599,3.8657335284204404,3.9536095047539868,3.651900827993469,3.6838110167643063
4.652782535112753,4.890192958424947,2.6674233105962184,4.125795250423598,4.005694448041458,3.786524210163513,4.033512625530583,3.817122415115587,3.8440044014777324,3.584672435105052,3.7634743748396087,5.0806847170210645,3.7190403098088805,3.812666164525937,3.5166207516552426,3.5581683789639826
4.526670754854883,4.718286649521949,2.383606571180599,3.929890360762937,3.824493503884766,3.687515359774833,3.9720596488452453,3.7967984078142183,3.9657854533828725,4.124310194597713,3.575792508788614,5.858729357102145,3.5160845725288374,3.5997764962699415,3.3282442629479174,3.3347930862068083
4.1690725427797,4.307136947744033,2.541700988374932,3.757073636687898,3.6924819943103113,3.5679050016364284,3.737641958339881,3.6523385130256596,3.638925613674024,3.9552319895685972,3.624309860012601,5.369870111117935,3.579805823356487,3.6709505553026998,3.3881337011937687,3.394913298583605
3.6155621481586677,3.6868667886229813,2.421320631033506,3.6869691052542057,3.622493486234511,3.473496684640322,3.542485734461073,3.3508057415628354,3.4911124846970067,4.170208148724175,3.619448463112564,4.689401135984769,3.5741648746636954,3.666958188307451,3.359362124698356,3.3911074180839913
3.2049337038171353,3.285219313804566,2.334901986776248,3.744316997210193,3.654071134668235,3.3522151701499747,3.2216069603370636,3.41998739813755,3.5782044890550337,4.165614743751567,3.8135915149935182,4.082024095516238,3.7425464691648984,3.8679684953631814,3.4784937062896883,3.625342009812009
2.3198549374228534,2.429712371420721,1.9328096146143867,3.299745824079612,3.2846772887300286,3.022354625317723,2.6521233862118607,3.863267343216443,3.726509239998903,3.6496088423167983,3.8712597518569716,2.311031517066049,3.7540201498489956,3.9260488938361187,3.4434756149249095,3.6957169623432824
