"REAL","ARM","OLS","MAG","MAG2","DFM","RWM"
3.1800049155843,4.290984017187251,1.5325363964751761,4.0370820408515415,4.289760245260854,3.9185574344742586,4.182552434337649
3.6709337349397853,4.394447628852446,1.9638147511490784,4.194440090172237,4.42328027530863,4.0220688874742425,4.30692438773015
3.628109406070612,4.457886470185981,2.557958980578527,4.288138824005315,4.512873709463822,4.092743299164208,4.382915531211
4.048840780553542,4.119370871653333,3.670496463517015,3.9822837951584145,4.169812283493891,3.7745578812660434,3.9769982966887167
4.016905411975946,3.97637335587186,4.190420491117434,3.819308614156559,3.9859796740615954,3.662585261499642,3.8059815046777343
4.276395716128079,3.8824446713172236,4.486345174948229,3.750566876455097,3.895662682451753,3.603787445128478,3.6945275682819214
4.124018312427857,3.8261629226892473,4.436550206441665,3.7512528878562383,3.856102743740102,3.597309920189969,3.628558676666604
3.3903318236435886,4.251683367707409,4.176105669907453,4.237462346175708,4.3562743491876175,4.105402338378494,4.139788963618805
3.0033349916164465,4.415599744858646,3.840328274080117,4.4427738572616615,4.56503115643157,4.245811205918374,4.337240896374979
2.7129719708511857,4.349475714939761,3.9963775175173124,4.342551458323959,4.466563300163158,4.180011207933478,4.258508331200648
2.7462051770917206,4.21221409241573,3.3472436525479083,4.184142868783847,4.312530772372578,3.988541810997957,4.094484115342592
2.9535015645872686,4.047197862280308,4.043864507835622,4.024382569815068,4.139393983346782,3.831565942796858,3.8968292017516593
3.245687611684467,3.869313013013757,4.916005885036599,3.8657335284204404,3.9536095047539868,3.651900827993469,3.6838110167643063
3.584672435105052,3.7634743748396087,5.0806847170210645,3.7190403098088805,3.812666164525937,3.5166207516552426,3.5581683789639826
4.124310194597713,3.575792508788614,5.858729357102145,3.5160845725288374,3.5997764962699415,3.3282442629479174,3.3347930862068083
3.9552319895685972,3.624309860012601,5.369870111117935,3.579805823356487,3.6709505553026998,3.3881337011937687,3.394913298583605
4.170208148724175,3.619448463112564,4.689401135984769,3.5741648746636954,3.666958188307451,3.359362124698356,3.3911074180839913
4.165614743751567,3.8135915149935182,4.082024095516238,3.7425464691648984,3.8679684953631814,3.4784937062896883,3.625342009812009
3.6496088423167983,3.8712597518569716,2.311031517066049,3.7540201498489956,3.9260488938361187,3.4434756149249095,3.6957169623432824
3.3572627593842608,3.703157739403951,2.761315376748056,3.585876752722843,3.732994847695003,3.24746894556806,3.4954398138207696
2.8742174160500955,3.769704401843641,2.160231568326211,3.6666434681038003,3.801401298983186,3.383402263816744,3.5750502892054503
2.891138341324817,3.575738159036924,2.8319185569350735,3.4784313098604307,3.6009385814192925,3.257069091569533,3.34309040184966
