Models,h3 J301,h3 J373,h3 J493
BMA,1.7525489223562927,1.7781531313724344,2.011489966173414
BMA2,1.717414754592707,1.7680677553705202,1.9655057302528092
LAS,1.7105794321371688,1.757995020234541,2.017252204435029
LAS2,1.6684862792764643,1.708663968826237,1.9361186261597423
RDG,1.666979578909131,1.7209123803584905,1.9826269631542563
RDG2,1.613878700947339,1.6473971017057447,1.9049004860724614
RDF,1.8080282060716446,1.7718562986328366,1.9985277178115468
RDF2,1.6782134755718516,1.723024211363064,2.00610170755354
ARM,1.6897657409760307,1.7412325638924315,2.0243417096357277
OLS,3.1020906450440555,3.2748254291345917,2.235350487575515
MAG,1.6971590100982084,1.7469155925788358,2.0298350602217075
MAG2,1.7083703163195312,1.7570364598544008,2.0421554984932455
DFM,1.7059104976099664,1.749156312858131,2.0188111747097635
DFM2,1.7672436507990876,1.7496806601492927,2.013833667565765
RWM,1.724384870318009,1.7768514787297116,2.0759700366132856
ESMB,1.6565006860312517,1.7048060784965864,1.9575528010584016
