Models,h12 J301,h12 J373,h12 J493
BMA,1.5855369261199224,1.3829388441964363,1.4819425801392008
BMA2,2.0768498108413307,2.163538533310159,1.3135447003361311
LAS,1.2643360408522806,1.3388037464362745,1.3599566679336657
LAS2,1.6040252813401452,1.7582147877429826,1.241220303546745
RDG,1.149961456042802,1.200646673891273,1.2581094524628287
RDG2,1.0567384880058308,1.0546516425163357,1.1286827900397292
RDF,1.8499633022151032,1.5394100031044111,1.5046084764525753
RDF2,1.2798232405581094,1.3276162630593973,1.2544099149182615
ARM,1.1682435218340694,1.1914812440145086,1.2979253877096284
OLS,1.869248975905591,1.8764013305479197,1.8213399916726913
MAG,1.173832739943471,1.201615394284232,1.3126420047511418
MAG2,1.2074417254961411,1.227063552325466,1.3415761273296885
DFM,1.1600044237497018,1.180531660653969,1.264118035385974
DFM2,1.4641803945863534,1.2689940474260515,1.3484867770182158
RWM,1.1884568783150318,1.2088887623590312,1.3735437907063184
ESMB,1.1545991785482947,1.2005245122127055,1.2220033502386372
