BMA,DFM2,LAS,LAS2,RDF,RDF2,RDG,RDG2,REAL,DFM,ARM,OLS,MAG,MAG2,RWM,ESMB
1.1081644110887956,0.7810005053609906,1.7919934769441015,1.808659455191288,2.9776913883519107,2.8650756052042676,1.4252757320111966,1.5410967586365416,2.1604017501988926,1.4312080922509858,1.4970328634235932,18.791643937910283,1.4764991940235377,1.367162652614158,0.9305506268513022,1.569499292375602
1.1879590098174142,0.8559804644373367,1.857587114627747,1.8421727202694385,2.9689155374398615,2.8586554093844905,1.537453102886997,1.5078207964461583,2.507833092952705,1.464138428702526,1.5255324030404704,-0.2763736705284838,1.5230762063580623,1.4057132553647915,0.9681247144725504,1.5849160871146484
1.236036668320453,1.0666007090960228,1.91709657537355,1.939901925264864,2.9555502708322927,2.8520402457719136,1.6165691957078658,1.4250677298750534,2.873863128075138,1.5408635611881871,1.575953146138764,2.8588613892754617,1.5831525654492558,1.465510292645223,1.031743919752921,1.6204465906167171
1.9706950367976783,1.6125541412171582,2.0447628040521932,2.0577262361716717,2.9536641886685766,2.84889880094848,1.8180611089108705,1.3852475531643198,2.3053329375680276,1.86073061288234,1.854677408643297,2.9606818231123486,1.8915647618488387,1.7846276990527865,1.3718130531256398,1.789595452715407
1.6685741464101322,1.5131445769028289,1.955365193551513,1.9128516178479813,2.9489025939761224,2.842774766990611,1.6644833360646083,1.31785439531516,2.342716562202529,1.7767740868400663,1.771122105013868,1.674700305526266,1.7872366703996343,1.68875684985165,1.2718916155321238,1.6946505512542689
1.0832327914291078,1.6086212810186475,2.039320433825223,1.9050182632681028,2.9442154188275707,2.8279076607346707,1.6692108657490017,1.328523205239642,2.6574048896249813,1.8573120121149105,1.856083545289484,2.371911395738223,1.8524856867516264,1.7815921867301232,1.376060080201445,1.7367342564780348
2.604153504552414,1.7698458420240726,2.2002073376694335,1.9858245262120464,2.944025944053994,2.825923100226266,1.8322385132471,1.328129033134056,2.633136094674549,1.9112092725415284,1.875972777078721,1.8715273392131533,1.8899334209146128,1.8072186229087304,1.4014842058312689,1.775283902241588
2.5057190675548537,1.9915181342454955,2.3455460272431785,2.0388749201912866,2.936199482879559,2.8162519196685394,1.8562846595233065,1.3352100543451406,2.4365332316059973,1.994557454782788,1.9092805561045223,1.7406484669731528,1.925150989592522,1.848169357359751,1.443232828861428,1.8194807463559344
1.7010106456796146,2.5218874235327164,2.4914549230667,2.165097999445964,2.934737928899244,2.815976972249307,2.078849515625123,1.4628720633031578,2.5224717034348254,2.3801881699651712,2.256859923290187,1.7685999530447094,2.2842327992393807,2.2412345971007404,1.8654357844563625,2.06625453900112
2.045625026313154,2.539501624850453,2.38966947979313,2.1940607763122,2.926400308692593,2.806763948767016,2.119513297652098,1.4767597224483175,2.4988674902359342,2.359785503952279,2.2140127305388564,1.740428260125528,2.2375884722843593,2.1905566073341145,1.812762716351595,2.0611546833129135
