REAL,DFM,ARM,OLS,MAG,MAG2,RWM
1.053880845,2.583701545,2.715448376,1.786192105,2.696997358,2.725124755,2.540369846
1.284577491,2.556627976,2.670911697,1.646681149,2.649887909,2.676368408,2.487025942
1.459302106,2.486235558,2.545092737,2.011512161,2.525636189,2.544154974,2.334724578
1.780202562,2.303994,2.287286627,2.092947583,2.274515613,2.278696928,2.021875708
1.700230476,2.024281088,1.954999725,2.471300776,1.945499381,1.936915967,1.618928818
1.727070028,2.032374077,1.90567099,2.350539748,1.893824162,1.886243666,1.560309806
2.032489611,1.901093768,1.769569095,2.190070095,1.750262513,1.743388409,1.396789241
2.121651387,1.896503156,1.858364205,2.515728267,1.831425627,1.837486515,1.506314993
1.231046389,1.952504636,1.986803788,2.795191219,1.964943832,1.974004804,1.663714312
0.471530416,2.110568147,2.178132201,2.76020068,2.158014208,2.174130307,1.896919966
0.781132924,1.946758163,1.966528581,2.528919859,1.953729375,1.954917655,1.640989633
1.13902471,1.909645729,1.943095665,2.439053844,1.934237887,1.933476757,1.613344551
0.979842178,1.829179564,1.854539369,2.569024225,1.852575571,1.844601819,1.506038553
0.499231593,1.949850915,1.98819996,2.194575829,1.980017311,1.982513386,1.668400473
0.988510892,1.716934118,1.689416559,2.248618386,1.685459762,1.672545736,1.307451161
1.448599003,1.566833627,1.502326883,2.479559881,1.504315028,1.480346042,1.083499826
1.666277931,1.640136759,1.594925368,2.092100034,1.592346391,1.576484039,1.198183714
1.693273476,1.709009504,1.753000181,1.875634779,1.740319716,1.739116418,1.391404893
1.966877559,1.735478366,1.811208324,1.777640538,1.796633371,1.799154633,1.463764596
1.837726348,1.640234441,1.643737904,1.642951336,1.634504351,1.626119693,1.263886002
1.93017947,1.517782446,1.476133805,1.748608385,1.469233151,1.452345194,1.063129235
2.012713828,1.416112005,1.351033399,1.628824534,1.34011672,1.32201452,0.912659327
1.987453506,1.609120208,1.570687273,1.916169136,1.557544487,1.550390894,1.178581756
1.812052644,1.719136551,1.731068075,1.866439072,1.709313579,1.715889964,1.373066192
1.6639487,1.722909894,1.778815804,2.143897293,1.754450397,1.76620753,1.431056603
1.456426875,1.478644073,1.525050621,2.7718491,1.51190354,1.504140063,1.124539082
1.308799471,1.732085707,1.768960206,2.744649727,1.758292254,1.759083935,1.419220576
0.932110092,1.921805474,1.997154972,2.844440272,1.986125889,1.997745005,1.69474718
0.518542949,2.008105054,2.078516085,2.977848624,2.0678082,2.082340787,1.793188753
-0.084205902,1.969367706,2.016886381,2.604121327,2.008530172,2.018100496,1.71904599
-1.239035088,2.038515313,2.068870579,2.708632492,2.06718415,2.074519066,1.782657125
-0.857302149,1.939179793,1.92835424,3.118654629,1.937713614,1.930238038,1.613332383
-0.6939752,1.955194829,1.904106101,3.144201338,1.918333763,1.905449565,1.585193034
-0.604522044,1.870300081,1.778639452,3.559589658,1.807198304,1.778337936,1.435316501
-0.010965413,1.764135858,1.591639217,3.242280671,1.622473361,1.581959104,1.211836796
0.756340994,1.596565883,1.261639802,3.373184367,1.300168302,1.238962311,0.817050506
1.870138467,1.217259487,0.708468561,4.149776605,0.770568573,0.668114619,0.156206386
1.532897635,1.305974481,0.774276728,3.573462841,0.826039123,0.735826199,0.241594715
1.086737405,1.226050132,0.773879982,3.359373131,0.825443175,0.735734957,0.246847908
1.062494848,1.144237441,0.647652501,3.278816444,0.698837016,0.604976094,0.101016809
